Cons_No,Contract_Ac,Contract,Install_No,GIC_Code,Sch_No.,Leg_Ac_No,Meter_No,Meter_Typ,Tariff,PSC_Cons_IBC,IBC_Name,AMR_STATUS,Actual_Latitude,Actual_Longitude,DTS_ID,PMT_Name,FeederID_(BH),Feeder_Name_(BH),FeederID,Feeder_Name,CM_No
BL001271,400002018827,30536598,7000203015,D0701,3000,2752382535517,CTO-40295,CTO,A3-G,130,JOHAR,AMR,24.92463224,67.11824756,508214,A.D.B.P S/S,,,3067,A.D.B.P S/S,0
DP002726,400026365188,32556006,7002575927,I0108,5508,2952285810057,Hook,Inactive,E-1_I,147,GADAP,Inactive,0,0,526271,AGRO EXPORT PROCESSING ZONE PMT 01,,,3464,AGRO EXPORT PROCESSING ZONE PMT 01,0
AL135711,400002077440,30517451,7000205664,D0101,3506,2852284379253,TY32049,Three,A1-R,145,TIPUSULTAN,Non AMR,24.86917848,67.08003212,9009,HAROON JAFFAR PMT 2,,,3258,HAROON JAFFAR PMT 2,0
AL216582,400002235957,30520443,7000208222,D0101,3506,2852284453755,TY47110,Three,A3-G,145,TIPUSULTAN,Non AMR,24.87446,67.0926317,505621,KDA SCHEME-1 PMT (B-30) PMT,,,486,KDA SCHEME-1 PMT (B-30) PMT,0
AL066702,400002235917,30520410,7000207862,D0101,3506,2852284453712,TL70449,Three,A3-G,145,TIPUSULTAN,Non AMR,24.87446,67.0926317,505621,KDA SCHEME-1 PMT (B-30) PMT,,,486,KDA SCHEME-1 PMT (B-30) PMT,0
AL066703,400002235933,30520428,7000207879,D0101,3506,2852284453739,TJ23625,Three,A3-G,145,TIPUSULTAN,Non AMR,24.87446,67.0926317,505621,KDA SCHEME-1 PMT (B-30) PMT,,,486,KDA SCHEME-1 PMT (B-30) PMT,0
AL216583,400002235798,30520359,7000207807,D0101,3506,2852284453658,CTO-51933,CTO,A3-G,145,TIPUSULTAN,AMR,24.87347656,67.09287956,7250,RULER OF DUBI D/PMT LHS,,,482,RULER OF DUBI D/PMT LHS,0
AL022067,400002235828,30520374,7000207825,D0101,3506,2852284453674,Inactive,Inactive,A1-R,145,TIPUSULTAN,Inactive,0,0,7250,RULER OF DUBI D/PMT LHS,,,482,RULER OF DUBI D/PMT LHS,0
AL020148,400002235852,30520392,7000207841,D0101,3506,2852284453690,Inactive,Inactive,A1-R,145,TIPUSULTAN,Inactive,0,0,7250,RULER OF DUBI D/PMT LHS,,,482,RULER OF DUBI D/PMT LHS,0
BL007392,400029821443,32887685,7002916561,F0401,335,,CTO-55206,CTO,A3-G,148,SHAH FAISAL,AMR,24.89593757,67.13926133,528829,ASF SHUHADA PARK,,,3117,ASF FOUNDATION,0
BL007625,400030939431,32989575,7003018458,F0401,335,,CTO-64969,CTO,A3-G,148,SHAH FAISAL,AMR,24.8979709,67.13961672,529751,ASF FOUNDATION,,,3117,ASF FOUNDATION,0
BL005934,400026461489,32566135,7002586119,F0401,335,2852384120303,CTO-48983,CTO,A3-G,148,SHAH FAISAL,AMR,24.93062156,67.17883565,524971,CHIEF SECURITY OFFICER ASF PMT,,,587,CHIEF SECURITY OFFICER ASF PMT,Check Meter # CTO-48984
BL007626,400030939423,32989574,7003018457,F0401,335,,CTO-64968,CTO,A3-G_DG,148,SHAH FAISAL,AMR,24.89799037,67.13959392,529751,ASF FOUNDATION,,,3117,ASF FOUNDATION,0
BH000520,400002254911,30536215,7000202843,F0404,303,2852283631501,HTO-3260,HTO,C-2_TOD,118,DEFENCE,AMR,24.83596785,67.04940666,505017,PNS SHIFA S/S BH-520,13,BUREAU OF LAB,13,TELEPHONE EXCHANGE PHASE-II,0
